station id,station name,latitude,longitude
131,Jackson Square T Stop,42.32293117,-71.10014141
133,Green Street T Stop - Green St at Amory St,42.310579,-71.107341
135,ID Building East,42.344827,-71.028664
136,ID Building West,42.344796,-71.031614
137,Magoun Square at Trum Field,42.398365,-71.107818
138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498
139,Dana Park,42.36178044,-71.10809952
140,Danehy Park,42.388966,-71.132788
141,Kendall Street,42.36356016,-71.08216792
142,Alewife Station at Russell Field,42.396105,-71.139459
143,EF - North Point Park,42.369885,-71.069957
144,Rogers St & Land Blvd,42.36575798,-71.07699394
145,Rindge Avenue - O'Neill Library,42.392766,-71.129042
146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739
149,175 N Harvard St,42.363796,-71.129164
150,State Street at Channel Center,42.344137,-71.052608
151,Surface Rd at India St,42.358155,-71.052163
152,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187
156,Somerville Hospital,42.39678589,-71.10237297
157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357
159,S Huntington Ave at Heath St,42.32760387,-71.1108917
160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098
161,W Broadway at D St,42.3391085,-71.0514432
162,Franklin Park - Seaver St at Humbolt Ave,42.309796,-71.092225
163,The Lawn on D,42.344792,-71.044024
169,Edwards Playground - Main St at Eden St,42.378965,-71.068607
170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347
171,Bunker Hill Community College,42.37408991,-71.06905997
173,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539
174,Washington St at Brock St,42.34895285,-71.16031677
175,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189
176,Lesley University,42.38674802,-71.11901879
177,University Park,42.36264779,-71.10006094
178,MIT Pacific St at Purrington St,42.3595732,-71.10129476
179,MIT Vassar St,42.35560121,-71.10394478
180,Mt Auburn,42.37478629,-71.13320231
181,Huron Ave At Vassal Lane,42.38165061,-71.13426981
182,Museum of Science,42.36769018,-71.07116282
183,Alewife MBTA at Steel Place,42.39558846,-71.14260614
184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405
185,Third at Binney,42.36544486,-71.08277142
187,Cypress St at Clark Playground,42.32784317,-71.12536222
188,Foss Park,42.39108438,-71.09039426
189,Kendall T,42.36242784,-71.08495474
190,Nashua Street at Red Auerbach Way,42.365673,-71.064263
191,Tappan St at Brookline Hills MBTA,42.33209606,-71.12845883
192,Purchase St at Pearl St,42.354659,-71.053181
193,Brookline Town Hall,42.33376473,-71.12046447
194,Broadway St at Mt Pleasant St,42.38614141,-71.0782814
195,Child St at North St,42.37150494,-71.07249312
196,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078
197,MLK Blvd at Washington St,42.32143814,-71.09126061
200,Washington St at Melnea Cass Blvd,42.332817,-71.081198
201,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946
202,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952
203,Columbia Rd at Ceylon St,42.309572,-71.0729
205,Bowdoin St at Quincy St,42.30785224,-71.06512249
206,Government Center - Cambridge St at Court St,42.35980252,-71.05960783
208,Oak Square - 615 Washington St,42.35057,-71.166491
209,Chelsea St at Saratoga St,42.379772,-71.027448
210,Bennington St at Byron St,42.38353252,-71.01619095
212,Maverick Square - Lewis Mall,42.36884408,-71.03977829
213,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431
